"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 12 08:50:11 GMT 2024","Thu Dec 12 08:50:11 GMT 2024","9","Tests","test_HomePage","TestHomePage","","","Check site carousel description",""
"passed","Thu Dec 12 08:50:31 GMT 2024","Thu Dec 12 08:50:31 GMT 2024","11","Tests","test_HomePage","TestHomePage","","","Check site carousel title",""
"passed","Thu Dec 12 08:50:31 GMT 2024","Thu Dec 12 08:50:31 GMT 2024","17","Tests","test_HomePage","TestHomePage","","","Check Download section description",""
"passed","Thu Dec 12 08:50:07 GMT 2024","Thu Dec 12 08:50:07 GMT 2024","10","Tests","test_HomePage","TestHomePage","","","Check Hero Banner image",""
"passed","Thu Dec 12 08:50:46 GMT 2024","Thu Dec 12 08:50:46 GMT 2024","11","Tests","test_HomePage","TestHomePage","","","Check event carousel description",""
"passed","Thu Dec 12 08:50:27 GMT 2024","Thu Dec 12 08:50:31 GMT 2024","4198","Tests","test_HomePage","TestHomePage","","","Check Hero Banner button",""
"passed","Thu Dec 12 08:50:25 GMT 2024","Thu Dec 12 08:50:25 GMT 2024","5","Tests","test_HomePage","TestHomePage","","","Click Download section App Store button",""
"passed","Thu Dec 12 08:50:31 GMT 2024","Thu Dec 12 08:50:31 GMT 2024","11","Tests","test_HomePage","TestHomePage","","","Check Download section image",""
"passed","Thu Dec 12 08:50:27 GMT 2024","Thu Dec 12 08:50:27 GMT 2024","75","Tests","test_HomePage","TestHomePage","","","Check sections appearance",""
"passed","Thu Dec 12 08:50:39 GMT 2024","Thu Dec 12 08:50:39 GMT 2024","25","Tests","test_HomePage","TestHomePage","","","Check events carousel appearance",""
"passed","Thu Dec 12 08:50:23 GMT 2024","Thu Dec 12 08:50:23 GMT 2024","42","Tests","test_HomePage","TestHomePage","","","Check events carousel appearance",""
"passed","Thu Dec 12 08:50:07 GMT 2024","Thu Dec 12 08:50:07 GMT 2024","108","Tests","test_HomePage","TestHomePage","","","Check sections appearance",""
"passed","Thu Dec 12 08:50:21 GMT 2024","Thu Dec 12 08:50:21 GMT 2024","10","Tests","test_HomePage","TestHomePage","","","Check Hero Banner subtitle",""
"passed","Thu Dec 12 08:50:17 GMT 2024","Thu Dec 12 08:50:23 GMT 2024","6325","Tests","test_HomePage","TestHomePage","","","Click on site carousel card",""
"passed","Thu Dec 12 08:50:23 GMT 2024","Thu Dec 12 08:50:23 GMT 2024","9","Tests","test_HomePage","TestHomePage","","","Check event carousel description",""
"passed","Thu Dec 12 08:50:21 GMT 2024","Thu Dec 12 08:50:25 GMT 2024","4499","Tests","test_HomePage","TestHomePage","","","Check Hero Banner button",""
"passed","Thu Dec 12 08:50:11 GMT 2024","Thu Dec 12 08:50:11 GMT 2024","72","Tests","test_HomePage","TestHomePage","","","Check Download section analytic pairs",""
"passed","Thu Dec 12 08:50:11 GMT 2024","Thu Dec 12 08:50:11 GMT 2024","9","Tests","test_HomePage","TestHomePage","","","Click Download section Google Play button",""
"passed","Thu Dec 12 08:50:31 GMT 2024","Thu Dec 12 08:50:31 GMT 2024","103","Tests","test_HomePage","TestHomePage","","","Check presented sites in the sites carousel",""
"passed","Thu Dec 12 08:50:23 GMT 2024","Thu Dec 12 08:50:23 GMT 2024","10","Tests","test_HomePage","TestHomePage","","","Check event carousel title",""
"passed","Thu Dec 12 08:50:31 GMT 2024","Thu Dec 12 08:50:31 GMT 2024","80","Tests","test_HomePage","TestHomePage","","","Check Download section analytic pairs",""
"passed","Thu Dec 12 08:51:04 GMT 2024","Thu Dec 12 08:51:20 GMT 2024","16081","Tests","test_HomePage","TestHomePage","","","Event carousel cards without events",""
"passed","Thu Dec 12 08:50:27 GMT 2024","Thu Dec 12 08:50:27 GMT 2024","10","Tests","test_HomePage","TestHomePage","","","Check Hero Banner image",""
"passed","Thu Dec 12 08:50:46 GMT 2024","Thu Dec 12 08:50:46 GMT 2024","31","Tests","test_HomePage","TestHomePage","","","Check presented events order",""
"passed","Thu Dec 12 08:50:07 GMT 2024","Thu Dec 12 08:50:11 GMT 2024","4147","Tests","test_HomePage","TestHomePage","","","Check Hero Banner button",""
"passed","Thu Dec 12 08:50:58 GMT 2024","Thu Dec 12 08:51:14 GMT 2024","15854","Tests","test_HomePage","TestHomePage","","","Event carousel cards without events",""
"passed","Thu Dec 12 08:50:31 GMT 2024","Thu Dec 12 08:50:31 GMT 2024","48","Tests","test_HomePage","TestHomePage","","","Check sites carousel appearance",""
"passed","Thu Dec 12 08:50:39 GMT 2024","Thu Dec 12 08:50:39 GMT 2024","20","Tests","test_HomePage","TestHomePage","","","Check presented events order",""
"passed","Thu Dec 12 08:50:46 GMT 2024","Thu Dec 12 08:50:46 GMT 2024","34","Tests","test_HomePage","TestHomePage","","","Check events carousel appearance",""
"passed","Thu Dec 12 08:50:11 GMT 2024","Thu Dec 12 08:50:11 GMT 2024","8","Tests","test_HomePage","TestHomePage","","","Click Download section App Store button",""
"passed","Thu Dec 12 08:50:11 GMT 2024","Thu Dec 12 08:50:11 GMT 2024","9","Tests","test_HomePage","TestHomePage","","","Check site carousel title",""
"passed","Thu Dec 12 08:50:32 GMT 2024","Thu Dec 12 08:50:37 GMT 2024","5169","Tests","test_HomePage","TestHomePage","","","Check site carousel button",""
"passed","Thu Dec 12 08:50:31 GMT 2024","Thu Dec 12 08:50:31 GMT 2024","10","Tests","test_HomePage","TestHomePage","","","Check site carousel description",""
"passed","Thu Dec 12 08:50:11 GMT 2024","Thu Dec 12 08:50:12 GMT 2024","92","Tests","test_HomePage","TestHomePage","","","Check presented sites in the sites carousel",""
"passed","Thu Dec 12 08:50:21 GMT 2024","Thu Dec 12 08:50:21 GMT 2024","7","Tests","test_HomePage","TestHomePage","","","Check Hero Banner image",""
"passed","Thu Dec 12 08:50:25 GMT 2024","Thu Dec 12 08:50:25 GMT 2024","6","Tests","test_HomePage","TestHomePage","","","Check site carousel title",""
"passed","Thu Dec 12 08:50:25 GMT 2024","Thu Dec 12 08:50:25 GMT 2024","5","Tests","test_HomePage","TestHomePage","","","Check Download section image",""
"passed","Thu Dec 12 08:50:25 GMT 2024","Thu Dec 12 08:50:26 GMT 2024","20","Tests","test_HomePage","TestHomePage","","","Check presented sites order",""
"passed","Thu Dec 12 08:50:31 GMT 2024","Thu Dec 12 08:50:31 GMT 2024","12","Tests","test_HomePage","TestHomePage","","","Check Download section title",""
"passed","Thu Dec 12 08:50:27 GMT 2024","Thu Dec 12 08:50:27 GMT 2024","54","Tests","test_HomePage","TestHomePage","","","Check Hero Banner title",""
"passed","Thu Dec 12 08:50:25 GMT 2024","Thu Dec 12 08:50:25 GMT 2024","44","Tests","test_HomePage","TestHomePage","","","Check Download section analytic pairs",""
"passed","Thu Dec 12 08:50:39 GMT 2024","Thu Dec 12 08:50:45 GMT 2024","5470","Tests","test_HomePage","TestHomePage","","","Check event carousel button",""
"passed","Thu Dec 12 08:50:25 GMT 2024","Thu Dec 12 08:50:25 GMT 2024","12","Tests","test_HomePage","TestHomePage","","","Check Download section description",""
"passed","Thu Dec 12 08:50:37 GMT 2024","Thu Dec 12 08:50:44 GMT 2024","6826","Tests","test_HomePage","TestHomePage","","","Click on site carousel card",""
"passed","Thu Dec 12 08:50:46 GMT 2024","Thu Dec 12 08:50:46 GMT 2024","147","Tests","test_HomePage","TestHomePage","","","Check presented events in the events carousel",""
"passed","Thu Dec 12 08:50:25 GMT 2024","Thu Dec 12 08:50:25 GMT 2024","84","Tests","test_HomePage","TestHomePage","","","Check presented sites in the sites carousel",""
"passed","Thu Dec 12 08:50:22 GMT 2024","Thu Dec 12 08:50:27 GMT 2024","4874","Tests","test_HomePage","TestHomePage","","","User is navigated to the Home page",""
"passed","Thu Dec 12 08:50:46 GMT 2024","Thu Dec 12 08:50:46 GMT 2024","11","Tests","test_HomePage","TestHomePage","","","Check event carousel title",""
"passed","Thu Dec 12 08:50:21 GMT 2024","Thu Dec 12 08:50:21 GMT 2024","10","Tests","test_HomePage","TestHomePage","","","Check Hero Banner title",""
"passed","Thu Dec 12 08:50:26 GMT 2024","Thu Dec 12 08:50:31 GMT 2024","5526","Tests","test_HomePage","TestHomePage","","","Check site carousel button",""
"passed","Thu Dec 12 08:50:07 GMT 2024","Thu Dec 12 08:50:07 GMT 2024","37","Tests","test_HomePage","TestHomePage","","","Check Hero Banner appearance",""
"passed","Thu Dec 12 08:51:09 GMT 2024","Thu Dec 12 08:51:09 GMT 2024","298","Tests","test_HomePage","TestHomePage","","","Check language switch",""
"passed","Thu Dec 12 08:51:34 GMT 2024","Thu Dec 12 08:51:34 GMT 2024","448","Tests","test_HomePage","TestHomePage","","","Check language switch",""
"passed","Thu Dec 12 08:51:25 GMT 2024","Thu Dec 12 08:51:28 GMT 2024","2878","Tests","test_HomePage","TestHomePage","","","Check main navigation",""
"passed","Thu Dec 12 08:50:11 GMT 2024","Thu Dec 12 08:50:11 GMT 2024","43","Tests","test_HomePage","TestHomePage","","","Check sites carousel appearance",""
"passed","Thu Dec 12 08:50:11 GMT 2024","Thu Dec 12 08:50:11 GMT 2024","65","Tests","test_HomePage","TestHomePage","","","Check Download section appearance",""
"passed","Thu Dec 12 08:50:23 GMT 2024","Thu Dec 12 08:50:23 GMT 2024","28","Tests","test_HomePage","TestHomePage","","","Check presented events order",""
"passed","Thu Dec 12 08:50:31 GMT 2024","Thu Dec 12 08:50:31 GMT 2024","74","Tests","test_HomePage","TestHomePage","","","Check Download section appearance",""
"passed","Thu Dec 12 08:50:31 GMT 2024","Thu Dec 12 08:50:31 GMT 2024","10","Tests","test_HomePage","TestHomePage","","","Click Download section Google Play button",""
"passed","Thu Dec 12 08:51:28 GMT 2024","Thu Dec 12 08:51:33 GMT 2024","5024","Tests","test_HomePage","TestHomePage","","","Check language switch",""
"passed","Thu Dec 12 08:50:16 GMT 2024","Thu Dec 12 08:50:21 GMT 2024","4997","Tests","test_HomePage","TestHomePage","","","User is navigated to the Home page",""
"passed","Thu Dec 12 08:50:23 GMT 2024","Thu Dec 12 08:50:28 GMT 2024","5127","Tests","test_HomePage","TestHomePage","","","Check event carousel button",""
"passed","Thu Dec 12 08:50:51 GMT 2024","Thu Dec 12 08:50:58 GMT 2024","6926","Tests","test_HomePage","TestHomePage","","","Click on event carousel card",""
"passed","Thu Dec 12 08:50:27 GMT 2024","Thu Dec 12 08:50:27 GMT 2024","42","Tests","test_HomePage","TestHomePage","","","Check Hero Banner appearance",""
"passed","Thu Dec 12 08:50:21 GMT 2024","Thu Dec 12 08:50:21 GMT 2024","29","Tests","test_HomePage","TestHomePage","","","Check Hero Banner appearance",""
"passed","Thu Dec 12 08:50:11 GMT 2024","Thu Dec 12 08:50:11 GMT 2024","15","Tests","test_HomePage","TestHomePage","","","Check Download section description",""
"passed","Thu Dec 12 08:50:25 GMT 2024","Thu Dec 12 08:50:25 GMT 2024","7","Tests","test_HomePage","TestHomePage","","","Check Download section title",""
"passed","Thu Dec 12 08:50:03 GMT 2024","Thu Dec 12 08:50:07 GMT 2024","3648","Tests","test_HomePage","TestHomePage","","","User is navigated to the Home page",""
"passed","Thu Dec 12 08:50:39 GMT 2024","Thu Dec 12 08:50:39 GMT 2024","93","Tests","test_HomePage","TestHomePage","","","Check presented events in the events carousel",""
