"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 12 07:02:40 GMT 2024","Thu Dec 12 07:02:40 GMT 2024","21","Tests","test_HomePage","TestHomePage","","","Check presented events order",""
"passed","Thu Dec 12 07:02:41 GMT 2024","Thu Dec 12 07:02:41 GMT 2024","42","Tests","test_HomePage","TestHomePage","","","Check events carousel appearance",""
"passed","Thu Dec 12 07:02:25 GMT 2024","Thu Dec 12 07:02:29 GMT 2024","4226","Tests","test_HomePage","TestHomePage","","","Check Hero Banner button",""
"passed","Thu Dec 12 07:02:27 GMT 2024","Thu Dec 12 07:02:27 GMT 2024","21","Tests","test_HomePage","TestHomePage","","","Check presented sites order",""
"passed","Thu Dec 12 07:02:20 GMT 2024","Thu Dec 12 07:02:25 GMT 2024","4742","Tests","test_HomePage","TestHomePage","","","User is navigated to the Home page",""
"passed","Thu Dec 12 07:02:29 GMT 2024","Thu Dec 12 07:02:29 GMT 2024","9","Tests","test_HomePage","TestHomePage","","","Click Download section Google Play button",""
"passed","Thu Dec 12 07:02:29 GMT 2024","Thu Dec 12 07:02:29 GMT 2024","10","Tests","test_HomePage","TestHomePage","","","Check Download section title",""
"passed","Thu Dec 12 07:02:23 GMT 2024","Thu Dec 12 07:02:23 GMT 2024","8","Tests","test_HomePage","TestHomePage","","","Check Hero Banner subtitle",""
"passed","Thu Dec 12 07:02:27 GMT 2024","Thu Dec 12 07:02:33 GMT 2024","5519","Tests","test_HomePage","TestHomePage","","","Check site carousel button",""
"passed","Thu Dec 12 07:02:58 GMT 2024","Thu Dec 12 07:03:13 GMT 2024","14747","Tests","test_HomePage","TestHomePage","","","Event carousel cards without events",""
"passed","Thu Dec 12 07:02:27 GMT 2024","Thu Dec 12 07:02:27 GMT 2024","5","Tests","test_HomePage","TestHomePage","","","Click Download section Google Play button",""
"passed","Thu Dec 12 07:02:27 GMT 2024","Thu Dec 12 07:02:27 GMT 2024","58","Tests","test_HomePage","TestHomePage","","","Check presented sites in the sites carousel",""
