"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10","Site information section summary","Tests","Sun Feb 02 03:26:35 GMT 2025","passed","Sun Feb 02 03:26:35 GMT 2025","TestSites","test_Sites","",""
"","4780","User is navigated to the Home page","Tests","Sun Feb 02 03:17:56 GMT 2025","passed","Sun Feb 02 03:18:00 GMT 2025","TestHomePage","test_HomePage","",""
"","34","Site information amenities section","Tests","Sun Feb 02 03:26:35 GMT 2025","passed","Sun Feb 02 03:26:35 GMT 2025","TestSites","test_Sites","",""
"","94","Login page appearance","Tests","Sun Feb 02 03:19:45 GMT 2025","passed","Sun Feb 02 03:19:46 GMT 2025","TestLogin","test_Login","",""
"","15","Check FAQ section title text","Tests","Sun Feb 02 03:16:33 GMT 2025","passed","Sun Feb 02 03:16:33 GMT 2025","TestAboutPage","test_AboutPage","",""
"","45","Saved sites cards attributes","Tests","Sun Feb 02 03:22:40 GMT 2025","passed","Sun Feb 02 03:22:40 GMT 2025","TestSites","test_Sites","",""
"","15","Check the site tabs title","Tests","Sun Feb 02 03:20:15 GMT 2025","passed","Sun Feb 02 03:20:15 GMT 2025","TestSites","test_Sites","",""
"","12411","Site information appearance","Tests","Sun Feb 02 03:26:22 GMT 2025","passed","Sun Feb 02 03:26:35 GMT 2025","TestSites","test_Sites","",""
"","7563","Successful logout","Tests","Sun Feb 02 03:20:45 GMT 2025","passed","Sun Feb 02 03:20:53 GMT 2025","TestLogin","test_Login","",""
"","4","Benefits banners number","Tests","Sun Feb 02 03:28:36 GMT 2025","passed","Sun Feb 02 03:28:36 GMT 2025","TestSponsorsPage","test_SponsorsPage","",""
"","10","Check event carousel description","Tests","Sun Feb 02 03:18:54 GMT 2025","passed","Sun Feb 02 03:18:54 GMT 2025","TestHomePage","test_HomePage","",""
"","7705","Click on Get Directions link","Tests","Sun Feb 02 03:25:09 GMT 2025","passed","Sun Feb 02 03:25:17 GMT 2025","TestSites","test_Sites","",""
"","5","Click Download section App Store button","Tests","Sun Feb 02 03:18:27 GMT 2025","passed","Sun Feb 02 03:18:27 GMT 2025","TestHomePage","test_HomePage","",""
"","6","Check event carousel title","Tests","Sun Feb 02 03:18:41 GMT 2025","passed","Sun Feb 02 03:18:41 GMT 2025","TestHomePage","test_HomePage","",""
"","27","Events pages section description","Tests","Sun Feb 02 03:17:25 GMT 2025","passed","Sun Feb 02 03:17:25 GMT 2025","TestEvents","test_Events","",""
"","6","Check themes section title text","Tests","Sun Feb 02 03:13:42 GMT 2025","passed","Sun Feb 02 03:13:42 GMT 2025","TestAboutPage","test_AboutPage","",""
"","1068","Site Information page appearance","Tests","Sun Feb 02 03:23:47 GMT 2025","passed","Sun Feb 02 03:23:48 GMT 2025","TestSites","test_Sites","",""
"","10","Check event carousel description","Tests","Sun Feb 02 03:18:47 GMT 2025","passed","Sun Feb 02 03:18:47 GMT 2025","TestHomePage","test_HomePage","",""
"","5","Site information opening times section","Tests","Sun Feb 02 03:25:09 GMT 2025","passed","Sun Feb 02 03:25:09 GMT 2025","TestSites","test_Sites","",""
"","4490","Check Hero Banner button","Tests","Sun Feb 02 03:18:23 GMT 2025","passed","Sun Feb 02 03:18:27 GMT 2025","TestHomePage","test_HomePage","",""
"","3382","Click back button","Tests","Sun Feb 02 03:22:38 GMT 2025","passed","Sun Feb 02 03:22:41 GMT 2025","TestSites","test_Sites","",""
"","12673","Site with more than one photo","Tests","Sun Feb 02 03:24:41 GMT 2025","passed","Sun Feb 02 03:24:53 GMT 2025","TestSites","test_Sites","",""
"","22535","Site with no exhibits","Tests","Sun Feb 02 03:27:22 GMT 2025","passed","Sun Feb 02 03:27:45 GMT 2025","TestSites","test_Sites","",""
"","7168","Click on saved site card","Tests","Sun Feb 02 03:21:45 GMT 2025","passed","Sun Feb 02 03:21:52 GMT 2025","TestSites","test_Sites","",""
"","134","Secondary details","Tests","Sun Feb 02 03:17:33 GMT 2025","passed","Sun Feb 02 03:17:33 GMT 2025","TestContactPage","test_ContactPage","",""
"","29","The historic tab is selected by default","Tests","Sun Feb 02 03:20:15 GMT 2025","passed","Sun Feb 02 03:20:15 GMT 2025","TestSites","test_Sites","",""
"","5154","Parking card link","Tests","Sun Feb 02 03:17:03 GMT 2025","passed","Sun Feb 02 03:17:08 GMT 2025","TestAboutPage","test_AboutPage","",""
"","36","FAQ section appearance","Tests","Sun Feb 02 03:16:33 GMT 2025","passed","Sun Feb 02 03:16:33 GMT 2025","TestAboutPage","test_AboutPage","",""
"","18","Check the site tabs title","Tests","Sun Feb 02 03:20:12 GMT 2025","passed","Sun Feb 02 03:20:12 GMT 2025","TestSites","test_Sites","",""
"","22250","Site with no exhibits","Tests","Sun Feb 02 03:26:39 GMT 2025","passed","Sun Feb 02 03:27:02 GMT 2025","TestSites","test_Sites","",""
"","13","Check the site tabs title","Tests","Sun Feb 02 03:19:23 GMT 2025","passed","Sun Feb 02 03:19:23 GMT 2025","TestSites","test_Sites","",""
"","6927","Navigate to Event information page","Tests","Sun Feb 02 03:18:14 GMT 2025","passed","Sun Feb 02 03:18:21 GMT 2025","TestEvents","test_Events","",""
"","7","Check FAQ section title text","Tests","Sun Feb 02 03:15:59 GMT 2025","passed","Sun Feb 02 03:15:59 GMT 2025","TestAboutPage","test_AboutPage","",""
"","0","Events are in chronological order","Tests","Sun Feb 02 03:18:15 GMT 2025","passed","Sun Feb 02 03:18:15 GMT 2025","TestEvents","test_Events","",""
"","49","Transport section card descriptions","Tests","Sun Feb 02 03:16:26 GMT 2025","passed","Sun Feb 02 03:16:26 GMT 2025","TestAboutPage","test_AboutPage","",""
"","10338","Navigate to Site Information page","Tests","Sun Feb 02 03:22:27 GMT 2025","passed","Sun Feb 02 03:22:37 GMT 2025","TestSites","test_Sites","",""
"","10761","Save site button for logged user","Tests","Sun Feb 02 03:26:01 GMT 2025","passed","Sun Feb 02 03:26:12 GMT 2025","TestSites","test_Sites","",""
"","5149","Public transport card link","Tests","Sun Feb 02 03:16:50 GMT 2025","passed","Sun Feb 02 03:16:55 GMT 2025","TestAboutPage","test_AboutPage","",""
"","0","Events are in chronological order","Tests","Sun Feb 02 03:18:00 GMT 2025","passed","Sun Feb 02 03:18:00 GMT 2025","TestEvents","test_Events","",""
"","22604","Site with no exhibits","Tests","Sun Feb 02 03:25:17 GMT 2025","passed","Sun Feb 02 03:25:39 GMT 2025","TestSites","test_Sites","",""
"","8","Check the site tabs description","Tests","Sun Feb 02 03:19:23 GMT 2025","passed","Sun Feb 02 03:19:23 GMT 2025","TestSites","test_Sites","",""
"","4517","Click Get Directions link","Tests","Sun Feb 02 03:17:49 GMT 2025","passed","Sun Feb 02 03:17:54 GMT 2025","TestEvents","test_Events","",""
"","50","Check sections appearance","Tests","Sun Feb 02 03:18:23 GMT 2025","passed","Sun Feb 02 03:18:23 GMT 2025","TestHomePage","test_HomePage","",""
"","8712","Check FAQ elements","Tests","Sun Feb 02 03:16:18 GMT 2025","passed","Sun Feb 02 03:16:27 GMT 2025","TestAboutPage","test_AboutPage","",""
"","20","Themes section appearance","Tests","Sun Feb 02 03:13:42 GMT 2025","passed","Sun Feb 02 03:13:42 GMT 2025","TestAboutPage","test_AboutPage","",""
"","18","Sponsors page welcome message text","Tests","Sun Feb 02 03:27:15 GMT 2025","passed","Sun Feb 02 03:27:15 GMT 2025","TestSponsorsPage","test_SponsorsPage","",""
"","17","Site information location section","Tests","Sun Feb 02 03:26:35 GMT 2025","passed","Sun Feb 02 03:26:35 GMT 2025","TestSites","test_Sites","",""
"","11957","Check individual Retail site","Tests","Sun Feb 02 03:20:42 GMT 2025","passed","Sun Feb 02 03:20:54 GMT 2025","TestSites","test_Sites","",""
"","14","Check FAQ section title text","Tests","Sun Feb 02 03:16:26 GMT 2025","passed","Sun Feb 02 03:16:26 GMT 2025","TestAboutPage","test_AboutPage","",""
"","13194","Check individual Historic site","Tests","Sun Feb 02 03:19:37 GMT 2025","passed","Sun Feb 02 03:19:51 GMT 2025","TestSites","test_Sites","",""
"","176","Email field validation","Tests","Sun Feb 02 03:17:25 GMT 2025","passed","Sun Feb 02 03:17:25 GMT 2025","TestContactPage","test_ContactPage","",""
"","4127","Get in touch button","Tests","Sun Feb 02 03:28:36 GMT 2025","passed","Sun Feb 02 03:28:40 GMT 2025","TestSponsorsPage","test_SponsorsPage","",""
"","35","Check the welcome message text","Tests","Sun Feb 02 03:20:12 GMT 2025","passed","Sun Feb 02 03:20:12 GMT 2025","TestSites","test_Sites","",""
"","4462","Unsuccessfully login with email: simeon.hhl.qa@gmail.com and password: Test#123","Tests","Sun Feb 02 03:19:48 GMT 2025","passed","Sun Feb 02 03:19:53 GMT 2025","TestLogin","test_Login","",""
"","7","Check Hero Banner subtitle","Tests","Sun Feb 02 03:18:23 GMT 2025","passed","Sun Feb 02 03:18:23 GMT 2025","TestHomePage","test_HomePage","",""
"","10076","Save site button for logged user","Tests","Sun Feb 02 03:26:36 GMT 2025","passed","Sun Feb 02 03:26:46 GMT 2025","TestSites","test_Sites","",""
"","11021","Saved sites without saved sites","Tests","Sun Feb 02 03:20:17 GMT 2025","passed","Sun Feb 02 03:20:28 GMT 2025","TestSites","test_Sites","",""
"","48","Check events carousel appearance","Tests","Sun Feb 02 03:18:47 GMT 2025","passed","Sun Feb 02 03:18:47 GMT 2025","TestHomePage","test_HomePage","",""
"","7","Check event carousel description","Tests","Sun Feb 02 03:18:41 GMT 2025","passed","Sun Feb 02 03:18:41 GMT 2025","TestHomePage","test_HomePage","",""
"","12079","Successful login","Tests","Sun Feb 02 03:18:58 GMT 2025","passed","Sun Feb 02 03:19:10 GMT 2025","TestLogin","test_Login","",""
"","40","Transport section appearance","Tests","Sun Feb 02 03:16:57 GMT 2025","passed","Sun Feb 02 03:16:57 GMT 2025","TestAboutPage","test_AboutPage","",""
"","22","Check presented sites order","Tests","Sun Feb 02 03:18:05 GMT 2025","passed","Sun Feb 02 03:18:05 GMT 2025","TestHomePage","test_HomePage","",""
"","5171","Parking card link","Tests","Sun Feb 02 03:16:55 GMT 2025","passed","Sun Feb 02 03:17:00 GMT 2025","TestAboutPage","test_AboutPage","",""
"","980","Unsuccessfully login with email: simeon.hhl.qagmail.com and password: Test#1234","Tests","Sun Feb 02 03:19:55 GMT 2025","passed","Sun Feb 02 03:19:56 GMT 2025","TestLogin","test_Login","",""
"","12734","Check individual Retail site","Tests","Sun Feb 02 03:19:51 GMT 2025","passed","Sun Feb 02 03:20:03 GMT 2025","TestSites","test_Sites","",""
"","1040","Name field appearance","Tests","Sun Feb 02 03:17:24 GMT 2025","passed","Sun Feb 02 03:17:25 GMT 2025","TestContactPage","test_ContactPage","",""
"","15","Benefits banner appearance","Tests","Sun Feb 02 03:28:36 GMT 2025","passed","Sun Feb 02 03:28:36 GMT 2025","TestSponsorsPage","test_SponsorsPage","",""
